LABEL_INSTITUTION,Year,Percentile,School_ID,Predicted_Salary
Institutions in Alabama,1,50,150,43125.639040412185
Institutions in Alabama,5,50,150,59702.48251334777
Institutions in Alabama,10,50,150,75076.3683253136
Institutions in Alabama,15,50,150,75076.3683253136
Institutions in Arizona,1,50,151,42969.7129988345
Institutions in Arizona,5,50,151,59708.851400793654
Institutions in Arizona,10,50,151,76319.89769444443
Institutions in Arizona,15,50,151,76319.89769444443
Institutions in Colorado,1,50,152,40148.83434945609
Institutions in Colorado,5,50,152,56856.491150793656
Institutions in Colorado,10,50,152,72312.14884920637
Institutions in Colorado,15,50,152,72312.14884920637
Institutions in Connecticut,1,50,153,44943.57342743368
Institutions in Connecticut,5,50,153,64960.96430411255
Institutions in Connecticut,10,50,153,78873.56936183263
Institutions in Connecticut,15,50,153,78873.56936183263
Institutions in District of Columbia,1,50,154,49025.55170238097
Institutions in District of Columbia,5,50,154,67702.48698989899
Institutions in District of Columbia,10,50,154,78873.56936183263
Institutions in District of Columbia,15,50,154,78873.56936183263
Institutions in Georgia,1,50,155,41809.82332758908
Institutions in Georgia,5,50,155,57184.40603890553
Institutions in Georgia,10,50,155,71115.99654761903
Institutions in Georgia,15,50,155,71115.99654761903
Institutions in Hawaii,1,50,156,38102.6932005217
Institutions in Hawaii,5,50,156,55763.84472619047
Institutions in Hawaii,10,50,156,69973.75946428569
Institutions in Hawaii,15,50,156,69973.75946428569
Institutions in Illinois,1,50,157,42792.60582151998
Institutions in Illinois,5,50,157,60018.90835420131
Institutions in Illinois,10,50,157,74914.2786598124
Institutions in Illinois,15,50,157,74914.2786598124
Institutions in Indiana,1,50,158,43797.47703984822
Institutions in Indiana,5,50,158,58121.7282005772
Institutions in Indiana,10,50,158,72602.94001984126
Institutions in Indiana,15,50,158,72602.94001984126
Institutions in Iowa,1,50,159,42265.51915123765
Institutions in Iowa,5,50,159,60162.756096681114
Institutions in Iowa,10,50,159,76168.64975937952
Institutions in Iowa,15,50,159,76168.64975937952
Institutions in Louisiana,1,50,160,40190.981734682
Institutions in Louisiana,5,50,160,55073.236342988705
Institutions in Louisiana,10,50,160,66184.6928625541
Institutions in Louisiana,15,50,160,66184.6928625541
Institutions in Maine,1,50,161,36591.266270479515
Institutions in Maine,5,50,161,47667.01106433598
Institutions in Maine,10,50,161,57005.24756493509
Institutions in Maine,15,50,161,57005.24756493509
Institutions in Massachusetts,1,50,162,43592.5707900433
Institutions in Massachusetts,5,50,162,64400.998
Institutions in Massachusetts,10,50,162,78596.09190476191
Institutions in Massachusetts,15,50,162,78596.09190476191
Institutions in Michigan,1,50,163,50417.89712401488
Institutions in Michigan,5,50,163,74557.75049583748
Institutions in Michigan,10,50,163,100364.8510119048
Institutions in Michigan,15,50,163,100364.8510119048
Institutions in Minnesota,1,50,164,43337.25395526696
Institutions in Minnesota,5,50,164,60907.025345238115
Institutions in Minnesota,10,50,164,77834.22373809524
Institutions in Minnesota,15,50,164,77834.22373809524
Institutions in Missouri,1,50,165,38967.730245088234
Institutions in Missouri,5,50,165,53903.93686399709
Institutions in Missouri,10,50,165,68441.58542460318
Institutions in Missouri,15,50,165,68441.58542460318
Institutions in Montana,1,50,166,36937.58216626429
Institutions in Montana,5,50,166,52747.44426190477
Institutions in Montana,10,50,166,66024.87173015872
Institutions in Montana,15,50,166,66024.87173015872
Institutions in New York,1,50,167,40545.697750999
Institutions in New York,5,50,167,61688.90461735485
Institutions in New York,10,50,167,77945.56964285717
Institutions in New York,15,50,167,77945.56964285717
Institutions in Ohio,1,50,168,42364.84126606726
Institutions in Ohio,5,50,168,58372.250589826835
Institutions in Ohio,10,50,168,72815.72588883342
Institutions in Ohio,15,50,168,72815.72588883342
Institutions in Oklahoma,1,50,169,41373.38480952381
Institutions in Oklahoma,5,50,169,56910.51620238094
Institutions in Oklahoma,10,50,169,68001.49071428571
